512WZG3;11.280;1;Loja 001;
FC2WZG3;11.248;1;Loja 001;
7B2WZG3;11.226;1;Loja 001;
BC2WZG3;11.245;1;Loja 001;
FZ1WZG3;11.256;1;Loja 001;
3B2WZG3;11.222;1;Loja 001;
2S0WZG3;10.621;1;Loja 001;
272WZG3;11.372;3;Loja 003;
882WZG3;11.394;3;Loja 003;
472WZG3;11.374;3;Loja 003;
372WZG3;;3;Loja 003;
6R1WZG3;11.087;4;Loja 004;
FN0WZG3;10.421;4;Loja 004;
7H1WZG3;10.879;4;Loja 004;
9Q0WZG3;10.449;4;Loja 004;
1L0WZG3;10.525;4;Loja 004;
9N0WZG3;10.564;4;Loja 004;
BN0WZG3;10.566;4;Loja 004;
DN0WZG3;10.567;4;Loja 004;
GJ1WZG3;10.902;4;Loja 004;
3P0WZG3;10.427;4;Loja 004;
4S0WZG3;10.624;4;Loja 004;FURTO
1Q0WZG3;10.439;4;Loja 004;
5T0WZG3;10.640;4;Loja 004;
3V0WZG3;10.658;4;Loja 004;
BD1WZG3;10.934;4;Loja 004;
3F1WZG3;10.943;4;Loja 004;
GT0WZG3;10.650;4;Loja 004;
3L0WZG3;10.526;4;Loja 004;
601WZG3;10.788;4;Loja 004;
9J1WZG3;10.897;4;Loja 004;
BJ1WZG3;10.898;4;Loja 004;
4N1WZG3;11.037;7;Loja 007;
GL1WZG3;11.015;7;Loja 007;
GM1WZG3;11.031;7;Loja 007;
392WZG3;11.206;8;Loja 008;
JB2WZG3;11.235;8;Loja 008;
FY1WZG3;11.141;8;Loja 008;
FW1WZG3;11.108;8;Loja 008;
GB2WZG3;11.233;8;Loja 008;
5B2WZG3;11.224;8;Loja 008;
DB2WZG3;11.231;8;Loja 008;
812WZG3;11.283;8;Loja 008;
192WZG3;11.204;8;Loja 008;
602WZG3;11.265;10;Loja 010;
DS1WZG3;11.159;10;Loja 010;
412WZG3;11.279;10;Loja 010;FURTO
CV1WZG3;11.190;10;Loja 010;
DV1WZG3;11.191;10;Loja 010;
4V1WZG3;11.183;10;Loja 010;
FV1WZG3;11.192;10;Loja 010;
8S1WZG3;11.155;10;Loja 010;
6C5PV63;10.380;11;Loja 011;
9C5PV63;10.383;11;Loja 011;
BC5PV63;10.384;11;Loja 011;FURTO
DC5PV63;10.386;11;Loja 011;
GC5PV63;10.388;11;Loja 011;
2X1WZG3;11.113;11;Loja 011;REPOSICAO FURTO
GX1WZG3;11.125;12;Loja 012;
D51WZG3;10.674;12;Loja 012;
881WZG3;10.718;12;Loja 012;
122WZG3;11.292;12;Loja 012;
7X1WZG3;11.118;12;Loja 012;
291WZG3;10.828;12;Loja 012;
271WZG3;10.696;12;Loja 012;
GS0WZG3;10.632;12;Loja 012;
JZ1WZG3;11.259;12;Loja 012;
DX1WZG3;11.123;13;Loja 013;FURTO
4T0WZG3;10.641;13;Loja 013;REPOSICAO FURTO
9X1WZG3;11.120;13;Loja 013;
BB2WZG3;11.229;13;Loja 013;
GC2WZG3;11.249;13;Loja 013;
F52WZG3;11.351;14;Loja 014;FURTO
C52WZG3;11.350;14;Loja 014;
JY0WZG3;10.766;14;Loja 014;
CY0WZG3;10.761;14;Loja 014;
8Y0WZG3;10.758;14;Loja 014;
2Z0WZG3;10.768;14;Loja 014;
DY0WZG3;10.762;14;Loja 014;
4W0WZG3;10.723;14;Loja 014;
JX0WZG3;10.750;14;Loja 014;
6W0WZG3;10.726;14;Loja 014;
7R0WZG3;10.460;14;Loja 014;
282WZG3;11.388;14;Loja 014;
862WZG3;11.362;14;Loja 014;
HL0WZG3;10.541;15;Loja 015;FURTO
FS0WZG3;;15;Loja 015;REPOSICAO FURTO
GH1WZG3;;15;Loja 015;
DS0WZG3;;15;Loja 015;
ZT0WZG3;;15;Loja 015;FURTO
FG1WZG3;10.869;15;Loja 015;REPOSICAO FURTO
BS0WZG3;;15;Loja 015;
2N0WZG3;;15;Loja 015;
342WZG3;11.326;16;Loja 016;
B01WZG3;10.792;16;Loja 016;
F22WZG3;11.304;16;Loja 016;
642WZG3;11.329;16;Loja 016;
221WZG3;10.816;16;Loja 016;
332WZG3;11.310;16;Loja 016;
792WZG3;11.210;17;Loja 017;
871WZG3;10.702;17;Loja 017;
G02WZG3;11.273;17;Loja 017;
971WZG3;10.703;17;Loja 017;
FQ1WZG3;11.078;17;Loja 017;
8Y1WZG3;11.135;17;Loja 017;FURTO
G91WZG3;10.840;17;Loja 017;REPOSICAO FURTO
H72WZG3;11.385;18;Loja 018;FURTO
3W0WZG3;10.722;18;Loja 018;
6X0WZG3;10.739;18;Loja 018;
6Y0WZG3;10.756;18;Loja 018;
7Y0WZG3;10.757;18;Loja 018;
7X0WZG3;10.743;18;Loja 018;
8QOWZG3;10.444;18;Loja 018;REPOSICAO FURTO
2W1WZG3;11.197;19;Loja 019;
GV1WZG3;11.193;19;Loja 019;
7S1WZG3;11.154;19;Loja 019;
1X0WZG3;10.740;20;Loja 020;FURTO
5N0WZG3;10.560;20;Loja 020;REPOSICAO FURTO
4X0WZG3;10.736;20;Loja 020;
1W0WZG3;10.720;20;Loja 020;
2W0WZG3;10.719;20;Loja 020;
362WZG3;11.357;20;Loja 020;
2G1WZG3;10.958;21;Loja 021;
GF1WZG3;10.954;21;Loja 021;
3D1WZG3;10.927;21;Loja 021;
511WZG3;10.803;21;Loja 021;
G01WZG3;10.796;21;Loja 021;
C01WZG3;10.793;21;Loja 021;
561WZG3;10.683;22;Loja 022;
8Q1WZG3;11.073;22;Loja 022;
J02WZG3;11.275;22;Loja 022;
