512WZG3;11.280;Dell Inc.;Optiplex 3080;Loja 001;
FC2WZG3;11.248;Dell Inc.;Optiplex 3080;Loja 001;
7B2WZG3;11.226;Dell Inc.;Optiplex 3080;Loja 001;
BC2WZG3;11.245;Dell Inc.;Optiplex 3080;Loja 001;
FZ1WZG3;11.256;Dell Inc.;Optiplex 3080;Loja 001;
3B2WZG3;11.222;Dell Inc.;Optiplex 3080;Loja 001;
2S0WZG3;10.621;Dell Inc.;Optiplex 3080;Loja 001;
272WZG3;11.372;Dell Inc.;Optiplex 3080;Loja 003;
882WZG3;11.394;Dell Inc.;Optiplex 3080;Loja 003;
472WZG3;11.374;Dell Inc.;Optiplex 3080;Loja 003;
372WZG3;;Dell Inc.;Optiplex 3080;Loja 003;
6R1WZG3;11.087;Dell Inc.;Optiplex 3080;Loja 004;
FN0WZG3;10.421;Dell Inc.;Optiplex 3080;Loja 004;
7H1WZG3;10.879;Dell Inc.;Optiplex 3080;Loja 004;
9Q0WZG3;10.449;Dell Inc.;Optiplex 3080;Loja 004;
1L0WZG3;10.525;Dell Inc.;Optiplex 3080;Loja 004;
9N0WZG3;10.564;Dell Inc.;Optiplex 3080;Loja 004;
BN0WZG3;10.566;Dell Inc.;Optiplex 3080;Loja 004;
DN0WZG3;10.567;Dell Inc.;Optiplex 3080;Loja 004;
GJ1WZG3;10.902;Dell Inc.;Optiplex 3080;Loja 004;
3P0WZG3;10.427;Dell Inc.;Optiplex 3080;Loja 004;
4S0WZG3;10.624;Dell Inc.;Optiplex 3080;Loja 004;FURTO
1Q0WZG3;10.439;Dell Inc.;Optiplex 3080;Loja 004;
5T0WZG3;10.640;Dell Inc.;Optiplex 3080;Loja 004;
3V0WZG3;10.658;Dell Inc.;Optiplex 3080;Loja 004;
BD1WZG3;10.934;Dell Inc.;Optiplex 3080;Loja 004;
3F1WZG3;10.943;Dell Inc.;Optiplex 3080;Loja 004;
GT0WZG3;10.650;Dell Inc.;Optiplex 3080;Loja 004;
3L0WZG3;10.526;Dell Inc.;Optiplex 3080;Loja 004;
601WZG3;10.788;Dell Inc.;Optiplex 3080;Loja 004;
9J1WZG3;10.897;Dell Inc.;Optiplex 3080;Loja 004;
BJ1WZG3;10.898;Dell Inc.;Optiplex 3080;Loja 004;
4N1WZG3;11.037;Dell Inc.;Optiplex 3080;Loja 007;
GL1WZG3;11.015;Dell Inc.;Optiplex 3080;Loja 007;
GM1WZG3;11.031;Dell Inc.;Optiplex 3080;Loja 007;
392WZG3;11.206;Dell Inc.;Optiplex 3080;Loja 008;
JB2WZG3;11.235;Dell Inc.;Optiplex 3080;Loja 008;
FY1WZG3;11.141;Dell Inc.;Optiplex 3080;Loja 008;
FW1WZG3;11.108;Dell Inc.;Optiplex 3080;Loja 008;
GB2WZG3;11.233;Dell Inc.;Optiplex 3080;Loja 008;
